,TotalCharge
9069,0.818451891537759
2603,-0.42566127195759734
7738,0.572107470750201
1579,-0.9241588073834356
5058,0.5002530970032874
5753,0.8875148868569408
3548,-0.9282907808469
409,-1.1202585325117096
4097,-0.622348655171161
6461,0.5898276326883232
5601,0.8910043392194421
5231,1.3929167463847127
3777,-0.7567045388299396
2726,-1.1960513852772239
477,-1.2771402731838701
1329,-0.4340268395528147
4035,-1.031750955135779
9642,1.2673427855576744
1777,-0.8821695996644981
6096,1.090423239415536
751,-0.8815086263871421
5792,1.206899306306905
4060,-0.9369895186751401
9041,0.20133710428588664
6030,1.0811487630456444
5898,0.8919679747890552
9338,0.8891692578705505
9160,1.0847831506009098
9996,1.1143118615039311
5151,0.5255672209243132
468,-0.44754343508745953
1545,-1.3472757164619114
6311,1.1048401631945186
2683,-0.9533082123379125
8966,1.0158128037277352
6181,1.388396236068623
1025,-1.078160384438593
5112,1.3922250936293696
8562,0.7744319546366794
5368,1.116541845387538
2354,-0.5294827517944664
7278,1.0484489068173952
3602,-0.46892978363733284
773,-1.2780736902244474
6773,0.8849730171154871
8809,0.7684171441369634
3382,-1.2148776953584568
641,-1.0418416455101143
4233,-1.0950673494092904
3815,-1.3771608069509915
4104,-0.29389661810517814
9925,1.6240833336312757
1108,-1.1648514817051188
3527,-1.0704460973503878
3495,-0.2592456222964643
1420,-0.8502650221024844
6923,1.5407694478868468
3881,-0.6903633828585808
8353,1.423795280934269
6245,1.162774795912312
4938,-0.5092392713609084
6798,1.3566554288532529
7812,-0.01022745679498588
1680,-0.9629143820695588
6715,1.01062953596372
633,-0.6506514211971056
2569,-0.9283287951464149
7359,-0.14400493299474956
2166,-0.9086030264320005
8169,1.065645283976603
8845,1.402484762385519
2825,-1.500226183596099
4087,-0.8694457257907107
6243,0.5796803345721329
8364,1.1997607894075928
3941,-0.3328943863782454
9179,1.0217019425729659
8075,0.9933317959007115
9195,1.3384206552496833
4128,-0.7495453562819552
1172,-0.8294759964302485
8668,0.7005874739232972
4222,-0.6753258007186145
4834,-1.106374896398536
2576,-1.2356155300123393
1989,-1.021680993245943
6973,1.0149849302374203
5836,0.5743172737841825
4532,-0.9982112994523977
3209,-0.9798444674140918
3855,-1.056698406320126
2628,-0.7898111098111142
7803,0.2468962896265759
1410,-1.3816936670297408
8257,0.9714140172405059
7386,0.15944303643057375
4303,-0.7896782551501293
6750,0.7894579731498105
6555,1.4400225186557853
815,-0.773216509534787
2404,-0.8793760742695597
5397,1.0740428106991367
9956,0.9051121290746174
2131,-0.8310289545465894
1797,-1.1734389377419674
3090,-1.059777745749818
4184,-0.15113296777730398
4564,-1.0480267342218232
5030,0.6854504607372262
8048,0.22160922639027514
122,-1.3045532893999259
179,-0.9808346357557497
9250,0.2829021359480044
8095,1.4294234447013898
6429,0.9539259350730761
9737,1.5273900032408791
4992,-1.0448216116843172
1157,-1.1197963185876918
9003,0.760329668649584
1532,-1.0299046619489536
8992,0.7255681551698306
7859,0.8643211281136023
9110,1.047477474101336
1535,-0.7410707575187354
9259,0.7995071189519136
5517,0.8568996206638608
2605,-1.2654868920198064
6127,1.4418612692500632
9141,0.14868847820292805
